City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
293,Porto Novo,BJ,2020-08-19 00:37:17,6.5,2.6,75.2,94,20,8.05
294,Nong Chik,TH,2020-08-19 00:37:18,6.84,101.18,80.38,78,81,5.12
295,Ahipara,NZ,2020-08-19 00:31:30,-35.17,173.17,60.84,81,27,13.2
296,Phonhong,LA,2020-08-19 00:37:19,18.5,102.42,77.0,100,75,1.23
297,Port-Gentil,GA,2020-08-19 00:31:05,-0.72,8.78,75.2,94,90,16.42
298,Luderitz,NA,2020-08-19 00:29:16,-26.65,15.16,54.99,50,0,19.69
299,Leh,IN,2020-08-19 00:32:54,34.17,77.58,61.03,43,0,5.79
300,Noumea,NC,2020-08-19 00:35:10,-22.28,166.46,75.2,47,0,3.36
301,Yenagoa,NG,2020-08-19 00:37:21,4.92,6.26,75.13,89,100,4.5
302,Kruisfontein,ZA,2020-08-19 00:31:42,-34.0,24.73,48.58,80,99,17.92
303,Longyearbyen,SJ,2020-08-19 00:29:04,78.22,15.64,44.6,70,75,13.87
